input,rhyme_scheme,meter
"Знаете что: я теперь отпускаю вас (она глянула на эмалевые часики, заткнутые у ней за поясом)… до трех часов… Надо ж дать вам отдохнуть.",AABB,iambos
"– «Так, говорит, богородица – великая мать сыра земля есть, и великая в том для человека заключается радость.",ABAB,choreios
"Владимир остановился: начал думать, припоминать, соображать, и уверился, что должно было взять ему вправо.",ABBA,iambos
"Она  сидела  на толстом бревне, облокотясь на свои колени и поддерживая  голову  руками:  то была мать убийцы.",AABB,choreios
"Не мог бы я так восклицать, если б не  переменился теперь радикально и не стал совсем другим человеком.",ABAB,iambos
"Он переставит мебель и - будет жить в сознании, что долг свой перед жизнью и людьми отлично выполнил.",ABBA,choreios
"На лице у него написано: «Я честный человек, но надувать себя не позволю!» — Ужо правосудие покажет вам, что я за человек!",AABB,iambos
"Сам иноземный инженер подивился такой, никогда им не виданной тактике, сказавши тут же, при всех: «Вот бравые молодцы-запорожцы!",ABAB,choreios
"Он про нее говорил, что надоела она Ваське и что Васька бросить ее хочет… а Наташу взять себе… Уйду я отсюда… на другую квартиру.",ABBA,iambos
"До сих пор вы были честны и скорее захотели пойти в лакеи, чем воровать… но мне страшно подумать, что может быть в будущем.",AABB,choreios
"Так говорил Пантелей Еремеич Перфишке; так выражались его уста; но на сердце у него не было так спокойно, как он уверял.",ABAB,iambos
"Растрепанная и нарумяненная женщина, выглядывавшая давеча утром из-за плеча Бубновой, приходилась ему кума.",ABBA,choreios
"Графиня Лидия Ивановна посмотрела на него восторженно, и слезы восхищения пред величием его души выступили на ее глаза.",AABB,iambos
"И вот, к удивлению моему, он и тут был не уверен: участвует он или нет в каком-нибудь тайном обществе.",ABAB,choreios
"«О дне же сем и часе не знает даже и Сын, токмо лишь Отец мой небесный», как изрек он и сам еще на земле.",ABBA,iambos
"Она привлекла его к себе, силилась что-то прошептать всё еще бледными губами, но голос всё еще изменял ей.",AABB,choreios
Несколько старых солдат в белых кителях - большею частию унтер-офицеры - шли с трубками стороной дороги и степенно разговаривали.,ABAB,iambos
"Что, если сам Степан Трофимович неоднократно рыдал на моем плече, в ярких красках рисуя предо мной всю свою подноготную?",ABBA,choreios
"Этого, я знаю, я не могу запретить вам, но ежели в вас есть искра совести… – Пьер несколько раз молча прошел по комнате.",AABB,iambos
"— сказал Янкель, — нужно посоветоваться с таким человеком, какого еще никогда не было на свете; у-у!",ABAB,choreios
"– Зато ваше соленье такое, что мама говорит, никогда такого не едала, – прибавила она, улыбаясь и поправляя на ней косынку.",ABBA,iambos
"А сам силен, здоров, весел и раздражен и окружен такими здоровыми и раздраженно-оживленными людьми».",AABB,choreios
"Февраль, 1878  «Услышишь суд глупца…»  Пушкин Ты всегда говорил правду, великий наш певец; ты сказал ее и на этот раз.",ABAB,iambos
"Барцелона велика, и не всякая испанка сумеет указать вам кратчайшую дорогу от одного конца города до другого.",ABBA,choreios
"Антонио показалось, что  перед  ним  совершилось  чудо; вместе с тем ему послышался голос: ""Надейся, не падай духом"".",AABB,iambos
"Впрочем, несчастным, вполне и страшно несчастным, мог оказаться лишь брат Дмитрий: его сторожила несомненная беда.",ABAB,choreios
"я по опыту знаю, что такие сны всегда лихорадку во мне означали… Я убежден, что и вся эта «история» с этим крепом – тоже, может быть, сон.",ABBA,iambos
"Еще было достаточно светло для того,  чтоб  меня разглядеть, бледного и дрожащего... Обе вскрикнули.",AABB,choreios
"Года два тому назад, в 1808 году, вернувшись в Петербург из своей поездки по имениям, Пьер невольно стал во главе петербургского масонства.",ABAB,iambos
"Налево, недалеко от крайнего орудия, был новый плетеный шалашик, из которого слышались оживленные офицерские голоса.",ABBA,choreios
"Мне хочется чего-нибудь тихого, постоянного, скромного, вроде Наденьки Калининой, знаешь ли... Чудная девушка!",AABB,iambos
"Оно, правда, всякий знает, что и от десяти тысяч торговцы в тележке с ременною упряжью ездят; только это то, да не то.",ABAB,choreios
"В этих забавах  прошло  дней восемь; не понимаю, как могло это мне понравиться; да и не нравилось  же,  а так.",ABBA,iambos
"Надо было всего четыре тысячи пятьсот, да на продаже пятитысячного билета потеря рублей в двести с лишком произошла.",AABB,choreios
"Он и отца принял ужасно небрежно; так небрежно, так небрежно, что я даже не понимаю, как он туда ездит.",ABAB,iambos
"Поутру проснешься – ведь нужно пить чай, и тут ведь приказчик, а тут и на рыбную ловлю, а тут и обед.",ABBA,choreios
"Ей было жалко его, и в то же время что-то в нем заставляло ее улыбаться теплой, материнской улыбкой.",AABB,iambos
"– сказала Долли, взглядывая на Туровцына, чувствовавшего, что говорили о нем, и кротко улыбаясь ему.",ABAB,choreios
"Приятно и потому, что была еще надежда, и еще более приятно потому, что больно было ей, той, которая сделала ему так больно.",ABBA,iambos
"Мне показалось, что число их вдесятеро увеличилось со времени последнего приступа, коему был я свидетель.",AABB,choreios
"На лестнице же ему встретилась пара: дама, быстро бежавшая на каблучках, и легкий товарищ прокурора.",ABAB,iambos
"Не то, что князь: тот уж привык - намелит, намелит себе руку, рукава засучит, да как пойдет садить, так лузы трещат, даром что маленький.",ABBA,choreios
"В этих движениях сквозят воспитанность, легкость, грация и даже — простите за выражение — некоторая женственность.",AABB,iambos
"Господа заседавшие встали, как бы облегченные, загремели стульями и пошли по зале разминать ноги, забирая кое-кого под руку и разговаривая.",ABAB,choreios
"Он вжился в природу, он понимает ее красоты по-своему - а для других жизнь - пошлый обряд, тупое одно и то же, ни к чему не ведущее"".",ABBA,iambos
"Погасив свечу, он накрылся ситцевым одеялом и, свернувшись под ним кренделем, заснул в ту же минуту.",AABB,choreios
"Вы смелее, честнее, глубже нас, но вдумайтесь, будьте великодушны хоть на кончике пальца, пощадите меня.",ABAB,iambos
"Акулина валялась по постели и хохотала, хохотала так, что страшно становилось всем, кто только слышал этот хохот.",ABBA,choreios
"Нехлюдов вздохнул глубоко, низко поклонился, пожал снисходительно протянутую ему костлявую большую руку и вышел из комнаты.",AABB,iambos
"-- Если они взяли Митина, то никак не через меня, -- сказала Лидия, краснея и беспокойно оглядываясь вокруг себя.",ABAB,choreios
"Но в ту же минуту я услышал снизу, как тяжело, с визгом отворилась тугая наружная стеклянная дверь на улицу и туго захлопнулась.",ABBA,iambos
"Катерина облокотилась руками на стол и пристально разгоревшимися, страстными очами смотрела в глаза старику.",AABB,choreios
"И мне казалось, что он, этот убийца, взял на себя чужую вину... что он был только камнем, который брошен чужою силой... да.",ABAB,iambos
"Сознавшись в этом, он с ужасом стал отталкивать эту мысль, но она- была упорна, она всплыла; мрачное, безумное отчаяние овладело им.",ABBA,choreios
"Это – кружок из кардона, вставленный в деревянную ножку, в которой кружок этот подвигался посредством шпеньков.",AABB,iambos
"А девица-то, падчерица-то, души, говорят, в своей мачехе не слышит; чуть на нее не молится и во всем ей послушна.",ABAB,choreios
"Но до сих пор не понимаю, почему именно могло войти мне в голову, что отец мой такой страдалец, такой несчастный человек в мире!",ABBA,iambos
"Надо заметить, что Петр Степанович сидел в креслах, заложив ногу на ногу, а капитан стоял пред ним в самой почтительной позе.",AABB,choreios
"И вспомнилось мне старинное сказание о том, как, в первый век по рождестве Христове, один греческий корабль плыл по Эгейскому морю.",ABAB,iambos
"Потом я пошла на улицу, и когда меня позвал какой-то прохожий, последовала за ним, к нему в дом, и он тоже был моим любовником.",ABBA,choreios
"Я отвечаю с полным хладнокровием, что я отнюдь не учил, что я только выразил основную мысль и говорил лишь в проекте.",AABB,iambos
"Съехав вниз, Долохов велел сопровождавшим его казакам дожидаться тут и поехал крупной рысью по дороге к мосту.",ABAB,choreios
"Вернувшись наверх, я на этот раз поостерёгся расспрашивать Мефистофеля, уже зная его манеру отвечать ничего не значащими шутками.",ABBA,iambos
"Теперь он часто вспоминал свой разговор с князем Андреем и вполне соглашался с ним, только несколько иначе понимая мысль князя Андрея.",AABB,choreios
"Я хотел выждать,  когда  смеркнется:  ""Там  спущусь  по лестнице, - думал я, - и  выйду,  а  потом  и  пойду"".",ABAB,iambos
"Старик Аврелиан отвез меня в дом Симмаха, и там жена славного оратора, Рустициана, приняла меня с истинным участием.",ABBA,choreios
"Он поймет, что Лень есть глупость тела, Глупость — лень ума, и захочет учиться, чтобы оздоровить и ум, и тело.",AABB,iambos
"Да ведь коли бесчеловечным общество признаешь, стало быть, признаешь, что этой девушке от этого общества больно.",ABAB,choreios
"– подхватил Лебедев, возвращаясь уже во фраке, мигая глазами и таща из кармана платок для утирки слез.",ABBA,iambos
"Левин нахмурился и, не отвечая ей, сел опять за свою работу, повторив себе все то, что он думал о значении этой работы.",AABB,choreios
"Один ближайший старичок оглянулся на него, но тотчас был отвлечен криком, начавшимся на другой стороне стола.",ABAB,iambos
"Римляне были первыми работниками в своем государстве, и все граждане не щадили сил на пользу республики.",ABBA,choreios
"На меня никто не обращал внимания, и дочери префекта молчали за все время завтрака, может быть, подавленные воспоминаниями о вчерашнем пире.",AABB,iambos
После супа был тот же петух с поджаренными волосами и творожники с большим количеством масла и сахара.,ABAB,choreios
"А насчет бабушки, что комичнее и грязнее, как посылать телеграмму за телеграммою и спрашивать: умерла ли, умерла ли?",ABBA,iambos
"Заработки эти самые легкие, как говорит народ: ни ученья тут, ни труда, ничего не надо, и коли раз испытаешь, другой работы не захочется.",AABB,choreios
"Вообще мне кажется, что в понятии народном очень твердо определены требования на известную, как они называют, «господскую» деятельность.",ABAB,iambos
"Когда старуха слегла совсем, то за ней пришли ухаживать деревенские старухи, по очереди, так там устроено.",ABBA,choreios
"Да и не было в ней всех прежних интересов жизни из того девичьего, беззаботного, полного надежд склада жизни.",AABB,iambos
"Я не скрывалась, не таилась ни в чем; он всё это видел и с каждым днем всё более и более привязывался ко мне.",ABAB,choreios
"Жирный блеск золота на мундирах потускнел, стал мягче, веяние бодрой уверенности, дуновение живой силы коснулось сердца матери, будя его.",ABBA,iambos
"Ну – скорее же, господа; там хоть и бараньи головы, но осторожность все-таки не мешает… Виргинский отправился с Эркелем.",AABB,choreios
"И признаюсь в этом с негодованием и искренно, я всегда  выдавал  себя сам словами и торопился, а потому и решился сократить людей.",ABAB,iambos
"Он вернулся истинным художником, хотя одни только друзья имели право наслаждаться его прекрасным талантом.",ABBA,choreios
"-- А пошлите его сюда, Мельникова-то, -- прибавил старый фейерверкер: -- и в самом деле убьет так, понапрасну.",AABB,iambos
"Отец Николай, который сам отворил мне, сразу меня узнал, хотя мы виделись только несколько минут и притом в темноте.",ABAB,choreios
Она как будто хотела кого-то изумить или испугать своими подвигами; точно она хвасталась перед кем-то?,ABBA,iambos
"– вскипел опять Митя, хотя и, видимо облегчив душу выходкой внезапного гнева, начал уже опять добреть с каждым словом.",AABB,choreios
Точно новая и особенная какая-то идея загорелась у него в мозгу и нетерпеливо засверкала в глазах его.,ABAB,iambos
"Старик запнулся за обнаженный корень дерева, выругался крепко, потом призвал бога и, прихрамывая, перескочил к другому рассказу.",ABBA,choreios
"Мы все пробуем втеснять свои мысли, свои желания -- среде, нас окружающей, и эти опыты, постоянно неудачные, служат для нашего воспитания.",AABB,iambos
"Это друг мой, товарищ детства… а я любовник… Говорит мне: «Я несчастный человек, я, говорит, пью чашу, я подозреваю жену свою».",ABAB,choreios
"Самое главное тут в том, что кружится голова, глохнешь и слепнешь — глаза и уши залиты водой, и очень много глотаешь ее.",ABBA,iambos
"Это, -- добавила она, знакомя меня с своим посетителем, -- Юлианий Азиатик, мой лучший друг, а это -- Юний Норбан, племянник Тибуртина.",AABB,choreios
"Малаша, которая, не спуская глаз, смотрела на то, что делалось перед ней, иначе понимала значение этого совета.",ABAB,iambos
"Эта часть линии была не укреплена, не защищена более рекою, и перед нею одною было более открытое и ровное место.",ABBA,choreios
"Он взял руку Татьяны и поцеловал ее смиренно, как виноватый; сердце в ней тихонько сжалось, и не порадовал ее этот поцелуй.",AABB,iambos
"Зимою торговля слабая, и в глазах торгашей нет того настороженного, хищного блеска, который несколько красит, оживляет их летом.",ABAB,choreios
"На печи стало нестерпимо жарко, я слез, но когда поравнялся с дядей, он поймал меня за ногу, дёрнул, и я упал, ударившись затылком.",ABBA,iambos
"— Ежели бы вы видели электрическую батарею, из чего она составлена, — говорит телеграфист, рисуясь, — то вы иначе бы рассуждали.",AABB,choreios
"– Ни одного слова вашего, ни одного движения вашего я не забуду никогда и не могу…  – Довольно, довольно!",ABAB,iambos
"Она, то есть порода, а не  Юная  Франция, большею частью изобличается в поступи, в руках и ногах; особенно  нос  много значит.",ABBA,choreios
"Теперь сам вижу, что доверия этого и быть не могло, потому что все же бы мы пришли к этому проклятому забору!",AABB,iambos
"Тургенев Иван Яков Пасынков  Иван Сергеевич Тургенев Яков Пасынков 1 Дело было в Петербурге, зимой, в первый день масленицы.",ABAB,choreios
"Она не получила никакого образования, и ей, конечно, тяжело раскрыть, например, книгу или заняться чем-нибудь две минуты сряду.",ABBA,iambos
"Но, к сожалению, я должен признаться, что между ними даже и в то уже время начал обнаруживаться разлад.",AABB,choreios
"Конечно, чтоб высказать вам все это, я бы мог посетить вас и завтра, а не беспокоить вас почти в полночь.",ABAB,iambos
"Я не мог оставить это  на  моей  совести  перед  последним,  задуманным  уже решением, видя ее любовь, и открыл ей.",ABBA,choreios
"Не было у ней ни большого ума, ни большого богатства, и связями она не дорожила, напротив; и не было человека, который бы не уважал ее.",AABB,iambos
"Именно для чего, собственно, припрятали, на что хотели, собственно, эти отделенные полторы тысячи употребить?",ABAB,choreios
За рекою Юрзенем Михельсон успел разбить еще толпу мятежников и преследовал их до Саткинского завода.,ABBA,iambos
"Камень отскочил из-под кирки отца и ударил меня в глаз; я не помню боли, но за обедом глаз выпал у меня — это было страшно, синьоры!..",AABB,choreios
"Левин оглянулся на нее и был поражен тем радостным сиянием, которое было на ее лице; и чувство это невольно сообщилось ему.",ABAB,iambos
"Примечания к главе пятой   1  Крещеные калмыки, поселенные в Оренбургской губернии, разделялись на оренбургских и ставропольских.",ABBA,choreios
"Для меня на этот раз не было ни верховой лошади, ни места в экипаже: всё было разобрано, занято, и я принужден уступить другим.",AABB,iambos
"Они мало обратили внимания на пришедших и поворотили головы только тогда, когда Янкель сказал: — Это мы, слышите, паны, это мы.",ABAB,choreios
"Я открыл, что Китай и Испания совершенно одна и та же земля и только по невежеству считают их за разные государства.",ABBA,iambos
"Это была круглая, веселая, совершенно курносая рожа, с большим ртом и светло, ярко голубыми круглыми глазами.",AABB,choreios
"Я прямо к старосте, будто сосед; вхожу на двор, гляжу: Матрена сидит на крылечке и рукой подперлась.",ABAB,iambos
"Когда все более или менее стихло, этот человек заговорил мощным голосом, разнесшимся по всей площади: - Дети мои!",ABBA,choreios
"Пред редактором стоял коренастый малый, в синей блузе, с рябым лицом и вьющимися кверху вихрами на леном виске.",AABB,iambos
"Молодые люди... ваше сиятельство и вы, Сергей Петрович... я счастлив теперь и... видит бог, как я люблю вас обоих!",ABAB,choreios
"Нужно было позаботиться об удобствах приглашенной свояченицы с детьми и жены с ребенком, и нельзя было не быть с ними хоть малую часть дня.",ABBA,iambos
"Кстати, правда, я слышал, что вы намерены ехать с доносом, в надежде получить прощение, объявив всех других?",AABB,choreios
"Шешковский и почтовый чиновник проводили его и отправились к фон Корену, чтобы поговорить насчет дуэли.",ABAB,iambos
"Ясно по крайней мере до наглядности то, что наше юное поколение обречено само отыскивать себе идеалы и высший смысл жизни.",ABBA,choreios
"клянусь вам всем, что есть святого,  разговор этот и все, что я слышал, останется между нами... Чем я виноват,  что  узнал ваши секреты?",AABB,iambos
"Он был оригинален, но не всегда, а употреблял оригинальность как средство, заменяющее в иных случаях светскость или богатство.",ABAB,choreios
"С детства всех боялся, стал подрастать — начал ненавидеть, которых за подлость, которых — не знаю за что, так, просто!",ABBA,iambos
"Жена моя лишилась отличной горничной, но делать было нечего: беспорядок в доме терпеть, однако же, нельзя.",AABB,choreios
"Ну, так сиди так; а курить – не кури: не могу я табачища вашего терпеть, да и Матрос от него чихает.",ABAB,iambos
"Теперь все они уже покончали курсы, вышли в люди и, конечно, как порядочные люди, давно уже забыли ее.",ABBA,choreios
"В атрии толпились рабы, а сам сенатор, в одной тунике, беспокойными шагами ходил взад и вперед, молча размахивая руками.",AABB,iambos
"Как ты мог наперед узнать, что провалишься именно в этот погреб в припадке, если не притворился в падучей нарочно?",ABAB,choreios
"А дедушка смолоду бедности-горя досыта отведал — под старость жаден стал, ему деньги дороже детей кровных, он рад даровщине!",ABBA,iambos
"Средиземное море показалось ему родным: оно омывало берега его отчизны, и он посвежел уже, только глядя на одни бесконечные его волны.",AABB,choreios
"Я отдыхал душой, когда мне удавалось убежать к нему от Антонины и вместе с ним ловить ускользающие планеты.",ABAB,iambos
"-- вскрикнул я дерзко и гордо, невзвидев света от своей горячки, задыхаясь от волнения и закрасневшись так, что слезы обожгли мне щеки.",ABBA,choreios
"Немая сцена Городничий посередине в виде столба, с распростертыми руками и запрокинутой назад головою.",AABB,iambos
"Бросился ребенок бежать куда глаза глядят с  перепугу,  выбежал  на террасу, да через  сад,  да  задней  калиткой  прямо  на  набережную.",ABAB,choreios
"А главное ведь в том, что тут и злодейств никаких таких не было, которым бы ей пришлось подыскивать оправдания.",ABBA,iambos
"Вино несколько зашумело в голове, и он вышел на улицу живой, бойкий, по русскому выражению: черту не брат.",AABB,choreios
"Княжна с торжеством стала на завоеванном месте и бросила на меня неизъяснимый взгляд, взгляд пресыщенный, упоенный победою.",ABAB,iambos
"Уверившись, что он не ошибся (в чем, впрочем, он и до поверки был совершенно уверен), он бросил лавку и поскорее пошел от нее.",ABBA,choreios
"Чтобы он выдал когда-нибудь вперед за месяц деньги — господи боже мой, да скорее Страшный суд придет.",AABB,iambos
"Некоторые из посетителей, услышав такую нам отповедь, захохотали пьяным смехом, а кто-то с дальнего стола даже крикнул: ""Так их, франтов!",ABAB,choreios
"- Что у меня не глаза, а вместо глаз два микроскопа,  и  что  я  каждую муху преувеличиваю в верблюда!",ABBA,iambos
"Тот же человек -- образ божий, так сказать, малолетный, врученный вам, как дитя, царем и отечеством.",AABB,choreios
"Питая уваженье к доблестям мужей, спасавших отечество на бранном поле, счел долгом представиться лично вашему превосходительству.",ABAB,iambos
"И сказал: истинно говорю вам, если не обратитесь и не будете как дети, не войдете в царство небесное; 4.",ABBA,choreios
"Весною я встретил его в поле, около лагерей, он шагал, как верблюд, покачивая головой, одинокий, опухший.",AABB,iambos
"Страдальческая струя проходит через всю его историю, не от внешних только несчастий и бедствий, а бьет ключом из самого сердца народного.",ABAB,choreios
"Она жила уже не в отеле, а на частной квартире из двух комнат, которые убрала по своему вкусу, холодно и роскошно.",ABBA,iambos
"– «Оно точно, ноги у них цибулястые… Ну, а как он бы руки тебе стал вязать?» – «А я бы не дался; Михея-кучера на помощь бы позвал».",AABB,choreios
«Поступить в военную службу и ехать в армию или дожидаться?» — в сотый раз задавал себе Пьер этот вопрос.,ABAB,iambos
"Но  Бувери  вечером позвал своего бывшего ученика к себе,  в  свою  половину  хижины,  и  просил подписать духовное завещание.",ABBA,choreios
"Неужели мы не найдем в себе сил освободиться от его заразы, сбросить с себя его грязь, забыть о его кровавых бесстыдствах?",AABB,iambos
"А просто-запросто всё это от испорченности моей природы, оттого, что я мрачный и сластолюбивый эгоист и без удержу отдаюсь страстям моим.",ABAB,choreios
"Несмотря на дообеденный час, я застал досточтимого сенатора Тибуртина уже за кубком вина, в его любимом таблине.",ABBA,iambos
"Все разговоры совершенно прекратились, как случается всегда, когда наконец предаются занятию дельному.",AABB,choreios
"А сама про себя думает: «Зато уж так буду потом любить, так заласкаю, что не грех теперь и помучить».",ABAB,iambos
"Но у нас теперь он прямо попал на отрицательную литературу, усвоил себе очень быстро весь экстракт науки отрицательной, и готов.",ABBA,choreios
"А думал ли ты обо мне в те месяцы, когда я днем и ночью билась головой о стены, когда я часами лежала на полу, в жажде упасть ниц, еще ниже.",AABB,iambos
"Большую известность получил его сборник «Ямбы», в котором поэт обличал поработителей французского народа.",ABAB,choreios
"Он опять припал к нему благооовейными губами, целуя каждый мускул, каждый волос, повторяя упоительные слова: ты моя!",ABBA,iambos
"Добрый, чуткий, милый... Там, в Сибири, безделье развращает людей, часто вызывает к жизни дурные чувства — как он умел бороться с ними!..",AABB,choreios
"-- Ты, Иван Никифорович, не мирись с ним и не проси прощения: он тебя погубить хочет, это таковский человек!",ABAB,iambos
"— заговорил Ржевецкий, отчеканивая каждый слог и стараясь не делать ударения на предпоследнем слоге.",ABBA,choreios
"– сказал Чичиков, увидевши Алкида и Фемистоклюса, которые занимались каким-то деревянным гусаром, у которого уже не было ни руки, ни носа.",AABB,iambos
"""Так же и та в театре улыбнулась мне, когда я вошел, -- думал он, -- и тот же смысл был в той и в этой улыбке.",ABAB,choreios
"Дома у себя молись хоть чурбану, если тебе этого хочется, а ведь это стыд и позор был, что в самой Курии курили фимиам бездушной статуе.",ABBA,iambos
"Когда  вы  вышли,  Андрей Петрович, я был в восторге, в восторге до слез, - почему, из-за чего, сам не понимаю.",AABB,choreios
"Если б и все роздали, как вы, свое имение «бедным», то, разделенные на всех, все богатства богатых мира сего были бы лишь каплей в море.",ABAB,iambos
"Петр Иванович все крестился и слегка кланялся по серединному направлению между гробом, дьячком и образами на столе в углу.",ABBA,choreios
"— А сегодня жарче вчерашнего, — сказал Матвей Егорович, одной рукой передавая пустой стакан жене, а другой отирая пот с лица.",AABB,iambos
"Национальность, если хотите, никогда и не являлась у нас иначе как в виде клубной барской затеи, и вдобавок еще московской.",ABAB,choreios
"Но он другой раз не пырнул, он не выдержал, он сам испугался, бросил ножик, заплакал в голос и пустился бежать.",ABBA,iambos
Он мне еще за три дня перед тем открыл все главное – вот тогда-то мы и начали ссориться и с тех пор все три дня ссорились.,AABB,choreios
"Посмотрел и князь, повернувшись к немцу всеми своими воротничками и наставив пенсне, хотя и без малейшего любопытства.",ABAB,iambos
"— Крови много потеряно, да и, кроме того, удар по голове каким-то тупым орудием, наверное, сопровождался сотрясением мозга.",ABBA,choreios
"А когда с Самородовым, так тот любит, чтоб после всего кофий с коньяком, а коньяк по шести гривен рюмочка-с.",AABB,iambos
"Тут дворник взял метлу, махнул раз-два, потом остановился, внимательно и важно посмотрев на Ордынова.",ABAB,choreios
"- Сколько раз я говорила, что эти доктора ничего не знают, есть простые лекарки, они вылечивают... Вот батюшка говорил... мещанин... Пошли.",ABBA,iambos
"«Не надо, не надо», — сказал он себе, вскочил, подошел к столу, открыл дело, стал читать его, но не мог.",AABB,choreios
"Мари,  сидевшая под  зонтиком в  большом кресле и  томившаяся от  жара, увидав девочек с ягодами, замахала на них веером.",ABAB,iambos
"Без слез ни разу не говорила о барине, Архип ей совсем опостылел; он, впрочем, ушел в солдаты охотником, мы об нем не слыхали после.",ABBA,choreios
"Ведь вы согласитесь, крошечка моя, что мне без пуговок быть нельзя; а у меня чуть ли не половина борта обсыпалась!",AABB,iambos
"- отвечал я, удерживая его за руку, -  вы все испортите; вы мне дали слово не мешать... Какое вам дело?",ABAB,choreios
"Он оглянулся, - с тротуара быстро бежал к нему Маякин в сюртуке до пят, в высоком картузе и с огромным зонтом в руке.",ABBA,iambos
"Мне хочется непременно узнать, что ты, какие твои мнения, убежденья, чем ты стал, чему жизнь тебя научила?",AABB,choreios
"Молиться всемирному духу, высшему существу, кантонскому, гегелевскому, очищенному, безобразному богу – невозможно и немыслимо.",ABAB,iambos
"Несмотря на кажущуюся последовательность речи, он несколько раз противуречит себе, и в логике и в чувствах.",ABBA,choreios
"Варвара Павловна пристально глядела на него, облокотись на фортепьяно и держа свои белые руки в уровень своих губ.",AABB,iambos
"Староста отвечал удовлетворительно, но как-то вяло и неловко, словно замороженными пальцами кафтан застегивал.",ABAB,choreios
"Кирила Петрович ничего не отвечал, велел вытащить медведя и снять с него шкуру; потом обратясь к своим людям сказал: – Каков молодец!",ABBA,iambos
"Он одинаково не мог работать, когда был холоден, как и тогда, когда был слишком размягчен и слишком видел все.",AABB,choreios
"Старый купец молча сидел напротив них, строго глядя перед собой и изредка неодобрительно жуя зубами.",ABAB,iambos
"Тут он взял от меня тетрадку и начал немилосердно разбирать каждый стих и каждое слово, издеваясь надо мной самым колким образом.",ABBA,choreios
